m,k,n,Na‹ve,BLAS 1,BLAS 2,BLAS 3,,,,,,
1024,1024,1024,0.37305,1.8289,0.468478,0.100499,,,,,,
2048,2048,2048,4.877474,85.174626,6.7627,1.354598,,,,,,
4096,4096,4096,45.058905,990.687642,52.411,5.655459,,,,,,
8192,8192,8192,361.685954,8365.244412,480.009295,45.922167,,Na‹ve = 8  * BLAS 3,,,,
16384,16384,16384,-3504,-74460,4602.712269,438.671718,,BLAS 1 = 170 * BLAS 3,,,,
32768,32768,32768,-28880,-613700,-37905,3610.343259,,BLAS 2 = 10.5 * BLAS 3,,,,
,,,,,,,,,,,,
Speed Up,,,,,,,,,,,,
m,k,n,Na‹ve,BLAS 1,BLAS 2,BLAS 3,,,,,,
1024,1024,1024,1,0.203975067,0.796302068,3.711977234,,From\To,Na‹ve,BLAS 1,BLAS 2,BLAS 3
2048,2048,2048,1,0.057264402,0.721231757,3.600680054,,Na‹ve,1,11.42992116,1.277647523,0.172741023
4096,4096,4096,1,0.045482454,0.859722291,7.967329442,,BLAS 1,0.087489667,1,0.075717101,0.00912385
8192,8192,8192,1,0.043236747,0.753497813,7.876064603,,BLAS 2,0.782688482,13.20705609,1,0.136175207
16384,16384,16384,1,0.047058824,-0.761290256,-7.987749965,,BLAS 3,5.789012833,109.6028541,7.343480668,1
32768,32768,32768,1,0.047058824,0.761904762,-7.999239388,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
PARALLEL,,,,,,,,,,,,
m,k,n,p=1,p=2,p=4,p=8,p=16,,,,,
1024,1024,1024,0.1099,0.0627,0.053,0.0439,0.0386,,,,,
2048,2048,2048,1.4378,1.4226,1.1698,0.2147,0.1671,,,,,
4096,4096,4096,6.4344,4.1432,2.2738,1.346,0.7791,,,,,
8192,8192,8192,46.0086,24.5055,14.1305,8.2525,5.1457,,,,,
16384,16384,16384,440.8183,222.2572,118.3714,63.941,37.1295,,,,,
32768,32768,32768,,,,,,,,,,
,,,,,,,,,,,,
Speedup,,,,,,,,,,,,
m,k,n,p=1,p=2,p=4,p=8,p=16,,,,,
1024,1024,1024,1,1.752791069,2.073584906,2.503416856,2.847150259,,,,,
2048,2048,2048,1,1.010684662,1.229098991,6.696786213,8.604428486,,,,,
4096,4096,4096,1,1.55300251,2.829800334,4.78038633,8.258760108,,,,,
8192,8192,8192,1,1.877480566,3.255978203,5.575110573,8.941174184,,,,,
16384,16384,16384,1,1.983370168,3.724027088,6.894141474,3.188068786,,,,,
32768,32768,32768,,,,,,,,,,
